,label,RMSE,MAE,MAPE,MASE
2,C1024 AS27133_FB Prophet,92.33,81.0,inf,9.43
0,C1024 AS27134_SARIMA,66.98,53.83,inf,1.22
1,C1024 AS27134_Holt-Winters 3,65.76,40.74,inf,0.92
2,C1024 AS27134_FB Prophet,149.04,121.23,inf,2.75
0,C1024 AS27137_SARIMA,8.11,6.56,102.76,2.33
0,C1024 AS27138_SARIMA,10.78,9.2,inf,7.55
1,C1024 AS27138_Holt-Winters 3,532.35,243.91,inf,200.13
2,C1024 AS27138_FB Prophet,16.45,13.54,inf,11.11
0,C1024 AS17005_SARIMA,2.32,1.02,inf,1.48
1,C1024 AS17005_Holt-Winters 3,2.33,0.79,inf,1.15
2,C1024 AS17005_FB Prophet,2.54,1.43,inf,2.09
2,C1024 AS46000_FB Prophet,19.2,16.97,inf,2.71
0,C1026 AS27000_SARIMA,21.3,16.57,21.57,0.65
0,C1026 AS27132_SARIMA,9.26,7.55,inf,0.8
1,C1026 AS27132_Holt-Winters 3,8.24,4.86,inf,0.52
2,C1026 AS27132_FB Prophet,20.94,16.76,inf,1.78
0,C1026 AS27133_SARIMA,27.07,19.04,inf,1.19
1,C1026 AS27133_Holt-Winters 3,17.88,15.28,inf,0.96
2,C1026 AS27133_FB Prophet,44.26,33.0,inf,2.07
0,C1026 AS27134_SARIMA,11.51,8.9,inf,0.7
1,C1026 AS27134_Holt-Winters 3,24.53,12.31,inf,0.97
2,C1026 AS27134_FB Prophet,43.8,29.5,inf,2.32
0,C1026 AS27137_SARIMA,13.5,11.66,inf,2.63
1,C1026 AS27137_Holt-Winters 3,20.62,16.58,inf,3.74
2,C1026 AS27137_FB Prophet,19.48,16.17,inf,3.64
0,C1026 AS27138_SARIMA,29.14,25.66,inf,3.57
1,C1026 AS27138_Holt-Winters 3,37.62,22.96,inf,3.19
2,C1026 AS27138_FB Prophet,35.29,26.01,inf,3.62
0,C1027 AS27000_SARIMA,22.37,19.59,inf,1.14
1,C1027 AS27000_Holt-Winters 3,201.23,171.94,inf,10.04
2,C1027 AS27000_FB Prophet,56.35,46.27,inf,2.7
0,C1027 AS27132_SARIMA,1.69,1.08,inf,0.18
1,C1027 AS27132_Holt-Winters 3,1.63,1.2,inf,0.2
2,C1027 AS27132_FB Prophet,11.6,10.51,inf,1.73
