,label,RMSE,MAE,MAPE,MASE
0,C2055 AS17005_SARIMA,11.14,5.79,inf,30.88
1,C2055 AS17005_Holt-Winters 3,14.96,5.1,inf,27.21
2,C2055 AS17005_FB Prophet,14.56,5.11,inf,27.24
0,C2056 AS27000_SARIMA,26.34,22.08,27.06,0.68
0,C2056 AS27132_SARIMA,20.16,15.0,95.38,1.18
0,C2056 AS27133_SARIMA,30.47,24.72,132.44,1.43
0,C2056 AS27134_SARIMA,14.84,11.89,164.04,0.89
0,C2056 AS27137_SARIMA,13.08,11.08,37.14,0.86
0,C2056 AS27138_SARIMA,10.85,7.64,37.34,3.39
1,C2056 AS27139_Holt-Winters 3,0.01,0.0,inf,0.02
2,C2056 AS27139_FB Prophet,2.08,1.27,inf,4.06
0,C2056 AS17005_SARIMA,0.69,0.28,inf,1.48
2,C2056 AS17005_FB Prophet,0.55,0.29,inf,1.56
0,C2056 AS46000_SARIMA,5.37,4.78,inf,0.73
1,C2056 AS46000_Holt-Winters 3,1.6,0.66,inf,0.1
2,C2056 AS46000_FB Prophet,9.69,7.15,inf,1.09
1,C2057 AS27000_Holt-Winters 3,9.45,7.64,37.56,0.72
0,C2057 AS27132_SARIMA,1.38,1.09,inf,0.4
1,C2057 AS27132_Holt-Winters 3,1.15,0.75,inf,0.27
2,C2057 AS27132_FB Prophet,2.39,1.93,inf,0.7
1,C2057 AS27133_Holt-Winters 3,14.13,12.03,21.11,0.6
0,C2057 AS27134_SARIMA,19.07,13.0,inf,1.07
1,C2057 AS27134_Holt-Winters 3,3.29,2.94,inf,0.24
2,C2057 AS27134_FB Prophet,21.83,17.18,inf,1.42
0,C2057 AS27138_SARIMA,2.85,1.8,inf,inf
0,C2059 AS27000_SARIMA,11.68,8.82,inf,0.82
1,C2059 AS27000_Holt-Winters 3,6.91,5.44,inf,0.5
2,C2059 AS27000_FB Prophet,12.05,10.83,inf,1.0
0,C2059 AS27132_SARIMA,2.62,1.65,inf,1.65
2,C2059 AS27132_FB Prophet,4.3,3.11,inf,3.11
0,C2059 AS27133_SARIMA,21.66,16.58,inf,1.8
1,C2059 AS27133_Holt-Winters 3,23.56,18.54,inf,2.02
2,C2059 AS27133_FB Prophet,18.77,15.0,inf,1.63
0,C2059 AS27134_SARIMA,22.19,11.35,inf,0.5
1,C2059 AS27134_Holt-Winters 3,0.05,0.04,inf,0.0
2,C2059 AS27134_FB Prophet,54.67,33.27,inf,1.47
0,C2059 AS27137_SARIMA,7.81,6.75,inf,1.8
1,C2059 AS27137_Holt-Winters 3,63.72,26.02,inf,6.94
2,C2059 AS27137_FB Prophet,9.45,6.54,inf,1.74
0,C2059 AS27138_SARIMA,8.47,7.05,inf,2.35
1,C2059 AS27138_Holt-Winters 3,10.84,8.39,inf,2.8
2,C2059 AS27138_FB Prophet,9.48,8.13,inf,2.71
0,C2060 AS27000_SARIMA,5.69,5.15,24.18,0.5
1,C2060 AS27132_Holt-Winters 3,3.74,3.46,119.46,0.72
0,C2060 AS27133_SARIMA,40.89,28.29,100.63,1.6
0,C2060 AS27134_SARIMA,10.24,6.75,inf,0.37
1,C2060 AS27134_Holt-Winters 3,13.48,7.47,inf,0.41
2,C2060 AS27134_FB Prophet,32.99,26.64,inf,1.48
0,C2060 AS27138_SARIMA,7.14,6.14,inf,3.38
1,C2060 AS27138_Holt-Winters 3,7.66,6.29,inf,3.47
2,C2060 AS27138_FB Prophet,9.34,8.27,inf,4.56
0,C2060 AS27139_SARIMA,2.08,1.49,inf,0.88
1,C2060 AS27139_Holt-Winters 3,0.01,0.01,inf,0.01
2,C2060 AS27139_FB Prophet,5.7,4.62,inf,2.74
0,C2060 AS46000_SARIMA,24.34,18.02,46.61,0.25
0,C2061 AS27000_SARIMA,9.13,6.89,inf,1.31
1,C2061 AS27000_Holt-Winters 3,9.87,8.31,inf,1.58
2,C2061 AS27000_FB Prophet,13.64,11.12,inf,2.12
0,C2061 AS27132_SARIMA,1.09,0.94,inf,inf
1,C2061 AS27133_Holt-Winters 3,8.78,7.39,69.41,1.09
0,C2061 AS27138_SARIMA,9.4,8.38,64.6,1.78
0,C2062 AS27000_SARIMA,8.33,6.91,52.99,0.56
0,C2062 AS27132_SARIMA,11.2,5.37,inf,3.3
1,C2062 AS27132_Holt-Winters 3,10.63,4.17,inf,2.57
2,C2062 AS27132_FB Prophet,11.2,5.29,inf,3.26
0,C2062 AS27133_SARIMA,11.12,8.03,52.03,0.73
0,C2062 AS27134_SARIMA,15.27,12.95,inf,1.44
1,C2062 AS27134_Holt-Winters 3,14.19,9.0,inf,1.0
2,C2062 AS27134_FB Prophet,14.15,11.28,inf,1.25
0,C2062 AS27137_SARIMA,3.99,3.3,inf,0.73
1,C2062 AS27137_Holt-Winters 3,1.94,1.48,inf,0.33
2,C2062 AS27137_FB Prophet,9.16,6.49,inf,1.43
0,C2062 AS27138_SARIMA,4.39,3.16,inf,0.86
1,C2062 AS27138_Holt-Winters 3,2.25,1.33,inf,0.36
2,C2062 AS27138_FB Prophet,6.57,4.7,inf,1.28
2,C2062 AS27139_FB Prophet,1.64,0.93,inf,4.95
0,C2063 AS27000_SARIMA,17.76,15.62,69.32,0.69
0,C2063 AS27132_SARIMA,3.26,2.56,inf,0.72
1,C2063 AS27132_Holt-Winters 3,3.13,2.09,inf,0.59
2,C2063 AS27132_FB Prophet,6.65,5.4,inf,1.52
0,C2063 AS27133_SARIMA,61.64,52.67,125.17,1.67
0,C2063 AS27134_SARIMA,18.4,14.8,inf,1.3
1,C2063 AS27134_Holt-Winters 3,21.05,14.97,inf,1.32
2,C2063 AS27134_FB Prophet,40.2,35.77,inf,3.15
0,C2063 AS27137_SARIMA,14.36,12.01,inf,3.52
1,C2063 AS27137_Holt-Winters 3,124.8,65.98,inf,19.37
2,C2063 AS27137_FB Prophet,16.38,14.51,inf,4.26
0,C2063 AS27138_SARIMA,17.05,14.73,inf,3.71
1,C2063 AS27138_Holt-Winters 3,50.04,37.47,inf,9.44
2,C2063 AS27138_FB Prophet,16.93,15.1,inf,3.8
1,C2064 AS27000_Holt-Winters 3,86.84,66.78,749.99,0.53
0,C2064 AS27132_SARIMA,12.18,10.48,inf,0.67
1,C2064 AS27132_Holt-Winters 3,10.5,5.07,inf,0.32
2,C2064 AS27132_FB Prophet,29.46,18.98,inf,1.21
0,C2064 AS27133_SARIMA,198.17,126.21,inf,1.94
1,C2064 AS27133_Holt-Winters 3,196.64,108.75,inf,1.67
2,C2064 AS27133_FB Prophet,250.74,155.44,inf,2.39
0,C2064 AS27134_SARIMA,13.2,10.38,inf,0.32
1,C2064 AS27134_Holt-Winters 3,14.01,12.45,inf,0.38
2,C2064 AS27134_FB Prophet,49.73,37.33,inf,1.15
1,C2064 AS27137_Holt-Winters 3,15.14,11.14,42.92,0.53
1,C2064 AS27138_Holt-Winters 3,18.02,15.16,58.28,0.42
1,C2064 AS27139_Holt-Winters 3,0.12,0.12,inf,0.07
2,C2064 AS27139_FB Prophet,4.61,3.11,inf,1.99
1,C2064 AS17005_Holt-Winters 3,0.14,0.14,inf,0.08
2,C2064 AS17005_FB Prophet,16.33,9.26,inf,4.94
0,C2064 AS46000_SARIMA,5.29,3.75,inf,0.45
1,C2064 AS46000_Holt-Winters 3,0.11,0.11,inf,0.01
2,C2064 AS46000_FB Prophet,50.07,29.66,inf,3.59
0,C2065 AS27000_SARIMA,15.63,11.23,inf,0.38
1,C2065 AS27000_Holt-Winters 3,20.29,16.05,inf,0.55
2,C2065 AS27000_FB Prophet,70.34,61.94,inf,2.12
0,C2065 AS27132_SARIMA,7.49,5.66,inf,0.7
1,C2065 AS27132_Holt-Winters 3,10.59,6.05,inf,0.74
2,C2065 AS27132_FB Prophet,11.73,10.34,inf,1.27
0,C2065 AS27133_SARIMA,17.23,14.23,37.16,1.11
0,C2065 AS27134_SARIMA,10.48,8.02,inf,0.67
1,C2065 AS27134_Holt-Winters 3,5.19,4.44,inf,0.37
2,C2065 AS27134_FB Prophet,21.24,17.28,inf,1.44
0,C2065 AS27137_SARIMA,0.7,0.56,inf,1.29
1,C2065 AS27137_Holt-Winters 3,0.42,0.37,inf,0.84
2,C2065 AS27137_FB Prophet,0.85,0.71,inf,1.62
0,C2065 AS27138_SARIMA,1.3,1.14,inf,1.01
1,C2065 AS27138_Holt-Winters 3,2.02,1.59,inf,1.41
2,C2065 AS27138_FB Prophet,2.31,2.03,inf,1.8
0,C2065 AS27139_SARIMA,1.15,1.01,inf,1.01
1,C2065 AS27139_Holt-Winters 3,0.01,0.01,inf,0.01
2,C2065 AS27139_FB Prophet,2.67,2.16,inf,2.16
0,C2065 AS17005_SARIMA,0.16,0.13,inf,1.08
1,C2065 AS17005_Holt-Winters 3,0.0,0.0,inf,0.02
2,C2065 AS17005_FB Prophet,0.27,0.22,inf,1.79
0,C2065 AS46000_SARIMA,56.41,41.48,inf,2.01
1,C2065 AS46000_Holt-Winters 3,61.98,36.35,inf,1.76
2,C2065 AS46000_FB Prophet,56.98,45.06,inf,2.18
0,C2066 AS27000_SARIMA,13.25,9.48,inf,0.88
1,C2066 AS27000_Holt-Winters 3,9.62,7.53,inf,0.7
2,C2066 AS27000_FB Prophet,21.58,18.08,inf,1.69
0,C2066 AS27133_SARIMA,39.52,30.66,inf,0.69
1,C2066 AS27133_Holt-Winters 3,47.13,40.32,inf,0.91
2,C2066 AS27133_FB Prophet,55.76,48.32,inf,1.09
0,C2066 AS27134_SARIMA,63.25,48.13,inf,1.23
1,C2066 AS27134_Holt-Winters 3,47.01,22.29,inf,0.57
2,C2066 AS27134_FB Prophet,74.33,59.93,inf,1.54
0,C2066 AS27137_SARIMA,12.82,10.97,inf,0.86
1,C2066 AS27137_Holt-Winters 3,12.98,11.03,inf,0.87
2,C2066 AS27137_FB Prophet,26.9,23.42,inf,1.84
0,C2066 AS27138_SARIMA,8.58,5.89,inf,1.11
2,C2066 AS27138_FB Prophet,27.46,21.59,inf,4.06
0,C2066 AS46000_SARIMA,20.79,9.1,inf,0.11
1,C2066 AS46000_Holt-Winters 3,0.03,0.03,inf,0.0
2,C2066 AS46000_FB Prophet,30.19,16.01,inf,0.2
0,C2068 AS27000_SARIMA,6.62,5.11,28.79,0.56
0,C2068 AS27132_SARIMA,4.12,3.19,inf,0.86
1,C2068 AS27132_Holt-Winters 3,1.35,0.93,inf,0.25
2,C2068 AS27132_FB Prophet,5.72,4.12,inf,1.11
0,C2068 AS27133_SARIMA,17.51,12.55,38.11,2.49
0,C2068 AS27134_SARIMA,7.81,5.02,inf,1.81
1,C2068 AS27134_Holt-Winters 3,8.8,7.39,inf,2.66
2,C2068 AS27134_FB Prophet,19.12,16.61,inf,5.97
0,C2068 AS27137_SARIMA,1.34,1.02,inf,1.81
1,C2068 AS27137_Holt-Winters 3,1.67,1.33,inf,2.36
2,C2068 AS27137_FB Prophet,2.79,2.37,inf,4.21
0,C2068 AS27138_SARIMA,2.66,1.67,inf,2.23
1,C2068 AS27138_Holt-Winters 3,3.59,3.16,inf,4.22
2,C2068 AS27138_FB Prophet,3.52,2.41,inf,3.21
0,C2068 AS27139_SARIMA,0.06,0.04,inf,0.05
1,C2068 AS27139_Holt-Winters 3,0.01,0.01,inf,0.01
2,C2068 AS27139_FB Prophet,4.74,3.84,inf,4.39
1,C2069 AS27000_Holt-Winters 3,67.02,50.19,57.46,0.69
0,C2069 AS27132_SARIMA,38.06,26.49,inf,0.63
1,C2069 AS27132_Holt-Winters 3,11.94,7.25,inf,0.17
2,C2069 AS27132_FB Prophet,75.04,51.94,inf,1.24
0,C2069 AS27133_SARIMA,81.81,65.02,inf,2.29
1,C2069 AS27133_Holt-Winters 3,62.98,42.31,inf,1.49
2,C2069 AS27133_FB Prophet,85.95,68.07,inf,2.4
0,C2069 AS27134_SARIMA,43.97,37.01,inf,1.16
1,C2069 AS27134_Holt-Winters 3,34.9,30.15,inf,0.95
2,C2069 AS27134_FB Prophet,57.52,49.69,inf,1.56
0,C2069 AS27137_SARIMA,17.25,11.21,inf,2.1
1,C2069 AS27137_Holt-Winters 3,18.91,9.19,inf,1.72
2,C2069 AS27137_FB Prophet,18.45,11.9,inf,2.23
0,C2069 AS27138_SARIMA,5.15,4.23,inf,2.51
1,C2069 AS27138_Holt-Winters 3,6.63,5.96,inf,3.53
2,C2069 AS27138_FB Prophet,7.26,5.83,inf,3.46
0,C2070 AS27000_SARIMA,3.08,2.6,inf,0.89
1,C2070 AS27000_Holt-Winters 3,4.88,3.31,inf,1.13
2,C2070 AS27000_FB Prophet,4.44,3.62,inf,1.23
0,C2070 AS27132_SARIMA,1.79,1.49,inf,0.7
1,C2070 AS27132_Holt-Winters 3,1.0,0.89,inf,0.42
2,C2070 AS27132_FB Prophet,4.91,2.96,inf,1.39
0,C2070 AS27133_SARIMA,21.89,17.32,95.26,0.78
0,C2070 AS27134_SARIMA,1.45,1.27,inf,0.48
1,C2070 AS27134_Holt-Winters 3,1.01,0.56,inf,0.21
2,C2070 AS27134_FB Prophet,4.97,4.63,inf,1.76
0,C2070 AS27137_SARIMA,5.46,5.03,inf,0.76
1,C2070 AS27137_Holt-Winters 3,7.63,6.47,inf,0.98
2,C2070 AS27137_FB Prophet,11.79,9.98,inf,1.51
0,C2070 AS27138_SARIMA,6.51,4.91,inf,3.14
1,C2070 AS27138_Holt-Winters 3,9.45,7.05,inf,4.51
2,C2070 AS27138_FB Prophet,6.53,5.12,inf,3.28
0,C2070 AS27139_SARIMA,0.06,0.05,inf,0.14
1,C2070 AS27139_Holt-Winters 3,0.07,0.06,inf,0.17
2,C2070 AS27139_FB Prophet,2.03,1.55,inf,4.12
0,C2070 AS17005_SARIMA,40.98,26.2,inf,0.67
1,C2070 AS17005_Holt-Winters 3,0.1,0.1,inf,0.0
2,C2070 AS17005_FB Prophet,34.94,12.09,inf,0.31
0,C2070 AS46000_SARIMA,36.1,30.16,inf,0.94
1,C2070 AS46000_Holt-Winters 3,21.1,14.9,inf,0.46
2,C2070 AS46000_FB Prophet,84.84,74.21,inf,2.31
0,C2071 AS27000_SARIMA,7.41,5.73,inf,1.6
1,C2071 AS27000_Holt-Winters 3,6.14,2.9,inf,0.81
2,C2071 AS27000_FB Prophet,10.15,8.82,inf,2.45
1,C2071 AS27132_Holt-Winters 3,0.12,0.11,inf,0.04
2,C2071 AS27132_FB Prophet,4.67,3.93,inf,1.43
0,C2071 AS27133_SARIMA,16.33,11.92,105.74,1.55
0,C2071 AS27134_SARIMA,13.76,9.22,inf,0.78
1,C2071 AS27134_Holt-Winters 3,6.86,2.79,inf,0.23
2,C2071 AS27134_FB Prophet,32.7,20.49,inf,1.73
0,C2071 AS27137_SARIMA,1.68,1.19,inf,37.96
1,C2071 AS27137_Holt-Winters 3,1.79,1.0,inf,31.97
2,C2071 AS27137_FB Prophet,1.76,1.02,inf,32.58
2,C2071 AS27138_FB Prophet,7.28,5.97,54.51,1.57
0,C2071 AS27139_SARIMA,25.46,20.23,inf,1.42
1,C2071 AS27139_Holt-Winters 3,33.27,20.03,inf,1.41
2,C2071 AS27139_FB Prophet,61.55,41.54,inf,2.92
0,C2071 AS46000_SARIMA,12.89,9.68,102.76,0.41
0,C2127 AS27000_SARIMA,8.92,7.0,inf,1.62
1,C2127 AS27000_Holt-Winters 3,6.96,4.43,inf,1.03
2,C2127 AS27000_FB Prophet,9.28,6.2,inf,1.44
0,C2127 AS27132_SARIMA,3.01,2.39,inf,0.8
1,C2127 AS27132_Holt-Winters 3,1.56,1.13,inf,0.38
2,C2127 AS27132_FB Prophet,4.36,3.6,inf,1.21
0,C2127 AS27133_SARIMA,63.54,61.68,inf,1.52
1,C2127 AS27133_Holt-Winters 3,59.73,44.17,inf,1.09
2,C2127 AS27133_FB Prophet,80.59,67.78,inf,1.67
0,C2127 AS27134_SARIMA,100.26,80.92,inf,1.18
1,C2127 AS27134_Holt-Winters 3,107.04,67.74,inf,0.99
2,C2127 AS27134_FB Prophet,95.34,79.22,inf,1.15
0,C2127 AS27137_SARIMA,12.61,9.27,inf,2.21
1,C2127 AS27137_Holt-Winters 3,190.56,85.79,inf,20.49
2,C2127 AS27137_FB Prophet,16.0,11.24,inf,2.68
2,C2127 AS27139_FB Prophet,0.02,0.01,inf,0.03
0,C2127 AS42018_SARIMA,3.69,2.04,inf,inf
1,C2127 AS42018_Holt-Winters 3,3.69,1.91,inf,inf
0,C2131 AS27000_SARIMA,3.15,2.4,23.53,0.51
0,C2131 AS27133_SARIMA,18.27,16.31,inf,1.8
1,C2131 AS27133_Holt-Winters 3,20.99,15.13,inf,1.67
2,C2131 AS27133_FB Prophet,20.32,14.82,inf,1.63
1,C2131 AS27134_Holt-Winters 3,0.03,0.03,inf,0.0
2,C2131 AS27134_FB Prophet,16.03,13.4,inf,2.31
0,C2131 AS27137_SARIMA,5.93,4.99,inf,1.66
1,C2131 AS27137_Holt-Winters 3,4.17,3.09,inf,1.03
2,C2131 AS27137_FB Prophet,10.58,9.45,inf,3.15
1,C2131 AS27138_Holt-Winters 3,6.02,4.56,51.84,0.88
1,C2131 AS27139_Holt-Winters 3,0.06,0.06,inf,0.04
2,C2131 AS27139_FB Prophet,2.41,2.08,inf,1.36
0,C2168 AS27000_SARIMA,2.19,1.94,inf,1.94
2,C2168 AS27000_FB Prophet,5.37,3.56,inf,3.56
0,C2168 AS27132_SARIMA,0.7,0.55,inf,2.94
2,C2168 AS27132_FB Prophet,0.93,0.68,inf,3.6
0,C2168 AS27133_SARIMA,13.54,10.74,inf,1.05
1,C2168 AS27133_Holt-Winters 3,25.21,19.59,inf,1.92
2,C2168 AS27133_FB Prophet,46.54,32.31,inf,3.16
0,C2168 AS27134_SARIMA,6.83,4.08,inf,1.67
1,C2168 AS27134_Holt-Winters 3,7.66,3.06,inf,1.25
2,C2168 AS27134_FB Prophet,8.92,7.43,inf,3.05
0,C2168 AS27137_SARIMA,1.7,1.62,inf,1.52
1,C2168 AS27137_Holt-Winters 3,1.98,1.11,inf,1.05
2,C2168 AS27137_FB Prophet,2.97,2.13,inf,2.01
0,C2168 AS27138_SARIMA,0.33,0.13,inf,inf
2,C2168 AS27139_FB Prophet,0.61,0.42,inf,3.38
0,C2168 AS42018_SARIMA,0.33,0.13,inf,inf
0,C2168 AS46000_SARIMA,44.0,14.67,inf,inf
0,C2194 AS27000_SARIMA,6.46,4.93,inf,inf
0,C2194 AS27132_SARIMA,0.33,0.13,inf,inf
0,C2194 AS27133_SARIMA,8.23,6.88,inf,inf
0,C2194 AS27138_SARIMA,3.99,2.26,inf,inf
0,C2214 AS27000_SARIMA,4.11,2.8,inf,inf
0,C2214 AS27133_SARIMA,16.12,11.28,inf,inf
0,C3001 AS27000_SARIMA,6.44,5.76,69.94,1.3
0,C3001 AS27132_SARIMA,11.05,6.17,inf,2.41
1,C3001 AS27132_Holt-Winters 3,13.14,5.73,inf,2.24
2,C3001 AS27132_FB Prophet,11.94,6.73,inf,2.63
1,C3001 AS27133_Holt-Winters 3,32.93,14.22,87.72,4.74
0,C3001 AS27134_SARIMA,24.88,16.18,inf,4.66
1,C3001 AS27134_Holt-Winters 3,24.55,9.74,inf,2.81
2,C3001 AS27134_FB Prophet,23.85,15.68,inf,4.52
0,C3010 AS27000_SARIMA,2.74,2.38,inf,0.58
1,C3010 AS27000_Holt-Winters 3,1.52,0.85,inf,0.21
2,C3010 AS27000_FB Prophet,7.1,3.99,inf,0.97
0,C3010 AS27132_SARIMA,2.86,2.27,inf,0.92
1,C3010 AS27132_Holt-Winters 3,1.32,1.12,inf,0.45
2,C3010 AS27132_FB Prophet,5.14,4.56,inf,1.85
0,C3010 AS27133_SARIMA,26.86,19.87,inf,0.79
1,C3010 AS27133_Holt-Winters 3,24.71,17.74,inf,0.71
2,C3010 AS27133_FB Prophet,48.03,43.59,inf,1.73
0,C3010 AS27134_SARIMA,17.52,13.79,inf,0.84
1,C3010 AS27134_Holt-Winters 3,12.41,12.07,inf,0.74
2,C3010 AS27134_FB Prophet,32.18,28.41,inf,1.74
0,C3010 AS27137_SARIMA,10.35,8.17,inf,2.9
1,C3010 AS27137_Holt-Winters 3,28.07,17.85,inf,6.35
2,C3010 AS27137_FB Prophet,9.29,7.73,inf,2.75
0,C3010 AS27138_SARIMA,4.54,4.14,inf,4.41
1,C3010 AS27138_Holt-Winters 3,12.98,9.55,inf,10.18
2,C3010 AS27138_FB Prophet,7.29,5.96,inf,6.35
1,C3010 AS27139_Holt-Winters 3,0.03,0.02,inf,0.02
2,C3010 AS27139_FB Prophet,7.92,5.18,inf,3.32
0,C3011 AS27000_SARIMA,23.98,15.83,inf,0.82
1,C3011 AS27000_Holt-Winters 3,20.25,16.25,inf,0.84
2,C3011 AS27000_FB Prophet,33.59,30.55,inf,1.59
0,C3011 AS27133_SARIMA,45.94,36.66,inf,1.64
1,C3011 AS27133_Holt-Winters 3,50.41,42.14,inf,1.89
2,C3011 AS27133_FB Prophet,47.58,38.12,inf,1.71
1,C3011 AS27134_Holt-Winters 3,0.01,0.01,inf,0.0
2,C3011 AS27134_FB Prophet,15.47,12.94,inf,2.41
0,C3011 AS27137_SARIMA,2.54,2.09,inf,0.4
1,C3011 AS27137_Holt-Winters 3,1.27,1.04,inf,0.2
2,C3011 AS27137_FB Prophet,4.15,2.95,inf,0.56
0,C3011 AS27138_SARIMA,13.23,10.52,inf,1.32
1,C3011 AS27138_Holt-Winters 3,10.64,6.93,inf,0.87
2,C3011 AS27138_FB Prophet,23.19,19.12,inf,2.39
1,C3012 AS27000_Holt-Winters 3,6.28,4.16,76.46,0.27
1,C3012 AS27132_Holt-Winters 3,3.05,1.68,inf,inf
0,C3012 AS27133_SARIMA,41.32,33.97,126.04,1.95
0,C3012 AS27134_SARIMA,39.76,31.82,inf,5.09
1,C3012 AS27134_Holt-Winters 3,36.69,16.89,inf,2.7
2,C3012 AS27134_FB Prophet,46.29,33.96,inf,5.43
0,C3012 AS27137_SARIMA,5.68,4.98,inf,3.39
1,C3012 AS27137_Holt-Winters 3,6.26,4.27,inf,2.91
2,C3012 AS27137_FB Prophet,6.45,4.83,inf,3.29
0,C3012 AS27138_SARIMA,9.76,7.61,38.43,1.62
0,C3012 AS27139_SARIMA,3.19,2.89,inf,0.68
1,C3012 AS27139_Holt-Winters 3,0.07,0.04,inf,0.01
2,C3012 AS27139_FB Prophet,8.74,7.87,inf,1.85
1,C3013 AS27000_Holt-Winters 3,3.2,2.34,20.83,0.54
0,C3013 AS27132_SARIMA,0.59,0.46,inf,0.57
1,C3013 AS27132_Holt-Winters 3,0.02,0.02,inf,0.02
2,C3013 AS27132_FB Prophet,3.24,2.42,inf,2.98
0,C3013 AS27133_SARIMA,26.18,21.56,inf,0.93
1,C3013 AS27133_Holt-Winters 3,17.2,12.65,inf,0.55
2,C3013 AS27133_FB Prophet,51.77,45.0,inf,1.94
0,C3013 AS27134_SARIMA,7.25,6.66,inf,0.64
1,C3013 AS27134_Holt-Winters 3,6.23,5.16,inf,0.5
2,C3013 AS27134_FB Prophet,11.7,7.58,inf,0.73
1,C3013 AS27137_Holt-Winters 3,5.16,4.14,53.68,0.59
1,C3013 AS27138_Holt-Winters 3,13.27,11.13,36.32,1.11
0,C3013 AS46000_SARIMA,13.83,11.88,inf,0.67
1,C3013 AS46000_Holt-Winters 3,13.87,4.75,inf,0.27
2,C3013 AS46000_FB Prophet,44.29,38.22,inf,2.17
0,C3014 AS27000_SARIMA,1.73,1.44,inf,1.85
1,C3014 AS27000_Holt-Winters 3,2.14,1.44,inf,1.85
2,C3014 AS27000_FB Prophet,2.66,2.22,inf,2.84
0,C3014 AS27133_SARIMA,11.72,9.63,inf,2.8
1,C3014 AS27133_Holt-Winters 3,18.85,13.55,inf,3.94
2,C3014 AS27133_FB Prophet,16.38,13.17,inf,3.83
0,C3014 AS27134_SARIMA,12.94,11.35,inf,2.24
1,C3014 AS27134_Holt-Winters 3,14.58,8.36,inf,1.65
2,C3014 AS27134_FB Prophet,26.91,21.92,inf,4.33
0,C3014 AS27137_SARIMA,4.38,3.45,inf,0.93
1,C3014 AS27137_Holt-Winters 3,5.35,4.28,inf,1.16
2,C3014 AS27137_FB Prophet,10.03,8.39,inf,2.27
1,C3014 AS27138_Holt-Winters 3,0.0,0.0,inf,0.02
2,C3014 AS27138_FB Prophet,0.94,0.76,inf,3.04
0,C3015 AS27000_SARIMA,5.15,4.15,inf,1.15
1,C3015 AS27000_Holt-Winters 3,2.61,2.01,inf,0.56
2,C3015 AS27000_FB Prophet,5.78,4.8,inf,1.34
0,C3015 AS27132_SARIMA,2.17,1.73,inf,0.58
1,C3015 AS27132_Holt-Winters 3,0.41,0.29,inf,0.1
2,C3015 AS27132_FB Prophet,5.68,4.04,inf,1.36
0,C3015 AS27133_SARIMA,21.08,18.65,71.37,0.7
0,C3015 AS27134_SARIMA,15.44,12.64,inf,0.49
1,C3015 AS27134_Holt-Winters 3,16.2,9.86,inf,0.38
2,C3015 AS27134_FB Prophet,44.1,31.57,inf,1.23
0,C3015 AS27137_SARIMA,2.0,1.76,inf,0.81
1,C3015 AS27137_Holt-Winters 3,1.63,1.51,inf,0.69
2,C3015 AS27137_FB Prophet,9.23,7.56,inf,3.45
0,C3015 AS27138_SARIMA,2.87,2.37,inf,1.55
1,C3015 AS27138_Holt-Winters 3,5.05,3.96,inf,2.59
2,C3015 AS27138_FB Prophet,7.2,4.97,inf,3.24
0,C3015 AS27139_SARIMA,0.0,0.0,inf,0.0
2,C3015 AS27139_FB Prophet,1.13,0.88,inf,1.28
0,C3015 AS46000_SARIMA,0.0,0.0,inf,0.0
1,C3015 AS46000_Holt-Winters 3,0.09,0.09,inf,0.0
2,C3015 AS46000_FB Prophet,27.69,23.17,inf,1.29
0,C3016 AS27133_SARIMA,16.87,6.75,inf,inf
1,C3016 AS27137_Holt-Winters 3,6.58,2.38,inf,inf
2,C3017 AS27000_FB Prophet,13.88,11.9,40.43,1.57
0,C3017 AS27132_SARIMA,5.9,4.89,inf,0.55
1,C3017 AS27132_Holt-Winters 3,4.1,2.82,inf,0.32
2,C3017 AS27132_FB Prophet,12.9,10.6,inf,1.19
0,C3017 AS27133_SARIMA,26.83,21.95,86.31,1.18
0,C3017 AS27134_SARIMA,4.47,3.66,inf,0.71
1,C3017 AS27134_Holt-Winters 3,2.52,1.99,inf,0.38
2,C3017 AS27134_FB Prophet,10.6,8.09,inf,1.56
2,C3017 AS27137_FB Prophet,11.64,9.03,68.76,1.03
0,C3017 AS27138_SARIMA,9.93,7.69,inf,1.53
1,C3017 AS27138_Holt-Winters 3,37.66,35.78,inf,7.11
2,C3017 AS27138_FB Prophet,15.71,12.78,inf,2.54
0,C3017 AS46000_SARIMA,19.51,15.06,93.27,0.48
0,C3018 AS27000_SARIMA,1.89,1.62,inf,0.91
1,C3018 AS27000_Holt-Winters 3,1.4,1.27,inf,0.71
2,C3018 AS27000_FB Prophet,2.34,1.8,inf,1.01
0,C3018 AS27132_SARIMA,0.74,0.59,inf,0.44
1,C3018 AS27132_Holt-Winters 3,0.49,0.35,inf,0.26
2,C3018 AS27132_FB Prophet,2.1,1.77,inf,1.32
0,C3018 AS27133_SARIMA,16.03,14.22,64.2,0.79
0,C3018 AS27134_SARIMA,3.68,3.01,48.86,3.71
0,C3018 AS27137_SARIMA,4.09,3.55,66.13,1.19
0,C3019 AS27000_SARIMA,4.08,3.18,41.29,0.79
0,C3019 AS27133_SARIMA,31.97,27.2,31.32,1.09
0,C3019 AS27134_SARIMA,2.1,1.95,inf,1.73
1,C3019 AS27134_Holt-Winters 3,2.3,1.7,inf,1.51
2,C3019 AS27134_FB Prophet,9.04,8.08,inf,7.18
1,C3019 AS27137_Holt-Winters 3,3.16,2.53,50.84,0.75
1,C3019 AS27138_Holt-Winters 3,3.11,2.57,30.47,0.55
